,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
8085,513A,YISHUN ST 51,13,2017,Y,N,N,N,N,N,108,513A YISHUN ST 51,1.416040132,103.8434894
8086,513B,YISHUN ST 51,13,2017,Y,N,N,N,N,N,84,513B YISHUN ST 51,1.415722357,103.8436484
8087,513C,YISHUN ST 51,13,2017,Y,N,N,N,N,N,108,513C YISHUN ST 51,1.415407805,103.8438014
8088,513D,YISHUN ST 51,13,2017,Y,N,N,N,N,N,132,513D YISHUN ST 51,1.41563356,103.8443278
8090,514,BISHAN ST 13,3,1989,N,Y,N,N,Y,N,0,514 BISHAN ST 13,1.350116942,103.8497632
8100,514,YISHUN ST 51,1,2017,N,N,N,N,N,Y,0,514 YISHUN ST 51,1.415417639,103.8434276
8101,514A,BISHAN ST 13,1,1990,N,Y,N,N,N,N,0,514A BISHAN ST 13,1.350816747,103.8505715
8102,514B,BISHAN ST 13,1,1990,N,Y,N,N,N,N,0,514B BISHAN ST 13,1.350784477,103.8503955
8103,514C,BISHAN ST 13,1,1990,N,Y,N,N,N,N,0,514C BISHAN ST 13,1.350642554,103.8503938
8111,515,TAMPINES CTRL 7,4,2009,N,N,N,N,Y,N,0,515 TAMPINES CTRL 7,1.357142265,103.9388224
8115,515A,WOODLANDS DR 14,1,1998,N,Y,N,N,N,N,0,515A WOODLANDS DR 14,1.434205648,103.7900813
8126,516,TAMPINES CTRL 7,1,2009,N,N,N,N,N,Y,0,516 TAMPINES CTRL 7,1.356668735,103.9384062
8129,516A,WOODLANDS DR 14,5,1997,N,N,N,N,Y,N,0,516A WOODLANDS DR 14,1.434172993,103.7907724
8137,517,TAMPINES CTRL 7,1,2009,N,N,N,N,N,Y,0,517 TAMPINES CTRL 7,1.356668459,103.939251
8138,517,WEST COAST RD,2,1979,N,Y,N,N,N,N,0,517 WEST COAST RD,1.307476844,103.7601573
8140,517A,JELAPANG RD,1,1997,N,N,N,N,Y,N,0,517A JELAPANG RD,1.387827099,103.7665688
8142,517A,WOODLANDS DR 14,7,1999,N,N,N,N,Y,N,0,517A WOODLANDS DR 14,1.434151094,103.7915085
8143,517B,JURONG WEST ST 52,4,1998,N,N,N,N,Y,N,0,517B JURONG WEST ST 52,1.34509259,103.7206633
8147,517F,JURONG WEST ST 52,1,1998,N,N,N,N,N,Y,0,517F JURONG WEST ST 52,1.344676991,103.7197705
8154,518,TAMPINES CTRL 7,4,2009,N,N,N,N,Y,N,0,518 TAMPINES CTRL 7,1.356193279,103.9388276
8157,518A,JELAPANG RD,5,1996,N,N,N,N,Y,N,0,518A JELAPANG RD,1.386667406,103.7668587
8158,518A,JURONG WEST ST 52,1,1991,N,Y,N,Y,N,N,0,518A JURONG WEST ST 52,1.345185538,103.7189031
8168,519,TAMPINES CTRL 8,8,2014,N,N,N,N,Y,N,0,519 TAMPINES CTRL 8,1.356733165,103.9401653
8172,519A,WOODLANDS DR 14,7,1999,N,N,N,N,Y,N,0,519A WOODLANDS DR 14,1.434572711,103.7923272
8177,52,CASSIA CRES,18,2016,Y,N,N,Y,N,N,584,52 CASSIA CRES,1.310672218,103.8850317
8179,52,CHIN SWEE RD,20,1973,Y,Y,N,N,N,N,272,52 CHIN SWEE RD,1.287082783,103.8415801
8186,52,MARINE TER,16,1974,Y,N,N,Y,N,N,270,52 MARINE TER,1.305847965,103.9163068
8193,52A,C'WEALTH DR,1,2013,N,N,N,N,N,Y,0,52A C'WEALTH DR,1.302216957,103.7969307
8194,52A,HAVELOCK RD,1,2012,N,N,N,N,N,Y,0,52A HAVELOCK RD,1.289849378,103.8286521
8195,52A,LOR 5 TOA PAYOH,1,2000,N,N,N,N,N,Y,0,52A LOR 5 TOA PAYOH,1.338442721,103.8523593
8196,52A,PIPIT RD,5,1996,N,N,N,N,Y,N,0,52A PIPIT RD,1.324317902,103.8860292
8197,52A,TELOK BLANGAH DR,5,2004,N,N,N,N,Y,N,0,52A TELOK BLANGAH DR,1.273332575,103.8110858
8203,520,LOR 6 TOA PAYOH,2,2002,N,Y,N,N,N,N,0,520 LOR 6 TOA PAYOH,1.333110131,103.8474318
8206,520,TAMPINES CTRL 8,1,2014,N,N,N,N,N,Y,0,520 TAMPINES CTRL 8,1.356796723,103.9399399
8220,521A,JELAPANG RD,1,1997,N,N,N,N,Y,N,0,521A JELAPANG RD,1.387080948,103.7659571
8221,521A,PASIR RIS ST 52,6,1993,N,N,N,N,Y,N,0,521A PASIR RIS ST 52,1.373902301,103.9440015
8222,521A,WOODLANDS DR 14,7,1998,N,N,N,N,Y,N,0,521A WOODLANDS DR 14,1.433944318,103.7935884
8229,522,TAMPINES CTRL 7,6,2014,N,N,N,N,Y,N,0,522 TAMPINES CTRL 7,1.358576773,103.938447
8244,523A,WOODLANDS DR 14,7,1998,N,N,N,N,Y,N,0,523A WOODLANDS DR 14,1.432919783,103.7939069
8256,524,TAMPINES CTRL 7,1,2015,N,N,N,N,N,Y,0,524 TAMPINES CTRL 7,1.358507237,103.9387055
8258,524A,JELAPANG RD,3,2000,N,Y,N,Y,N,N,0,524A JELAPANG RD,1.385295563,103.7661705
8261,524A,WOODLANDS DR 14,1,1999,N,N,N,N,N,Y,0,524A WOODLANDS DR 14,1.433230894,103.7933277
8265,525,ANG MO KIO AVE 10,2,1979,N,Y,N,N,N,N,0,525 ANG MO KIO AVE 10,1.372645696,103.8538907
8274,525A,JELAPANG RD,1,1997,N,N,N,N,Y,N,0,525A JELAPANG RD,1.386316579,103.7653687
8276,525A,WOODLANDS DR 14,7,1998,N,N,N,N,Y,N,0,525A WOODLANDS DR 14,1.432573645,103.7929172
8279,526,ANG MO KIO AVE 10,2,1979,N,Y,N,N,N,N,0,526 ANG MO KIO AVE 10,1.373069332,103.8540891
8286,526,PASIR RIS ST 51,7,2014,N,N,N,N,Y,N,0,526 PASIR RIS ST 51,1.368039389,103.9474544
